Datum;Altersklasse;Geschlecht;Anzahl_Personen
2022-03-16;10 - 19;MA;51
2022-03-16;20 - 29;FE;116
2022-03-16;20 - 29;MA;95
2022-03-16;30 - 39;FE;127
2022-03-16;30 - 39;MA;128
2022-03-16;40 - 49;FE;60
2022-03-16;40 - 49;MA;83
2022-03-16;50 - 59;FE;109
2022-03-16;50 - 59;MA;72
2022-03-16;60 - 69;FE;55
2022-03-16;60 - 69;MA;49
2022-03-16;70 - 79;FE;38
2022-03-16;70 - 79;MA;33
2022-03-16;80 - 89;FE;23
2022-03-16;80 - 89;MA;11
2022-03-17;> 89;FE;8
2022-03-17;> 89;MA;4
2022-03-17;00 - 09;FE;31
2022-03-17;00 - 09;MA;18
2022-03-17;10 - 19;FE;62
2022-03-17;10 - 19;MA;47
2022-03-17;20 - 29;FE;85
2022-03-17;20 - 29;MA;47
2022-03-17;30 - 39;FE;91
2022-03-17;30 - 39;MA;79
2022-03-17;40 - 49;FE;74
2022-03-17;40 - 49;MA;65
2022-03-17;50 - 59;FE;74
2022-03-17;50 - 59;MA;64
2022-03-17;60 - 69;FE;48
2022-03-17;60 - 69;MA;37
2022-03-17;70 - 79;FE;19
2022-03-17;70 - 79;MA;26
2022-03-17;80 - 89;FE;27
2022-03-17;80 - 89;MA;11
2022-03-18;> 89;FE;12
2022-03-18;> 89;MA;2
2022-03-18;00 - 09;FE;25
2022-03-18;00 - 09;MA;22
2022-03-18;10 - 19;FE;56
2022-03-18;10 - 19;MA;50
2022-03-18;20 - 29;FE;60
2022-03-18;20 - 29;MA;62
2022-03-18;30 - 39;;1
2022-03-18;30 - 39;FE;87
2022-03-18;30 - 39;MA;81
2022-03-18;40 - 49;FE;90
2022-03-18;40 - 49;MA;66
2022-03-18;50 - 59;FE;62
2022-03-18;50 - 59;MA;52
2022-03-18;60 - 69;;1
2022-03-18;60 - 69;FE;44
2022-03-18;60 - 69;MA;42
2022-03-18;70 - 79;FE;31
2022-03-18;70 - 79;MA;17
2022-03-18;80 - 89;FE;21
2022-03-18;80 - 89;MA;19
2022-03-19;> 89;FE;14
2022-03-19;> 89;MA;5
2022-03-19;00 - 09;FE;22
2022-03-19;00 - 09;MA;16
2022-03-19;10 - 19;FE;37
2022-03-19;10 - 19;MA;32
2022-03-19;20 - 29;FE;46
2022-03-19;20 - 29;MA;32
2022-03-19;30 - 39;FE;66
2022-03-19;30 - 39;MA;58
2022-03-19;40 - 49;FE;63
2022-03-19;40 - 49;MA;42
2022-03-19;50 - 59;FE;48
2022-03-19;50 - 59;MA;52
2022-03-19;60 - 69;FE;34
2022-03-19;60 - 69;MA;30
2022-03-19;70 - 79;FE;30
2022-03-19;70 - 79;MA;18
2022-03-19;80 - 89;FE;21
2022-03-19;80 - 89;MA;20
2022-03-20;> 89;FE;2
2022-03-20;> 89;MA;3
2022-03-20;00 - 09;FE;12
2022-03-20;00 - 09;MA;23
2022-03-20;10 - 19;FE;24
2022-03-20;10 - 19;MA;25
2022-03-20;20 - 29;FE;33
2022-03-20;20 - 29;MA;25
2022-03-20;30 - 39;FE;35
2022-03-20;30 - 39;MA;30
2022-03-20;40 - 49;;1
2022-03-20;40 - 49;FE;45
2022-03-20;40 - 49;MA;25
2022-03-20;50 - 59;FE;31
2022-03-20;50 - 59;MA;23
2022-03-20;60 - 69;FE;23
2022-03-20;60 - 69;MA;18
2022-03-20;70 - 79;FE;11
2022-03-20;70 - 79;MA;7
2022-03-20;80 - 89;FE;6
2022-03-20;80 - 89;MA;2
2022-03-21;> 89;FE;17
2022-03-21;> 89;MA;2
2022-03-21;00 - 09;FE;38
2022-03-21;00 - 09;MA;38
2022-03-21;10 - 19;FE;61
2022-03-21;10 - 19;MA;53
2022-03-21;20 - 29;;1
2022-03-21;20 - 29;FE;75
2022-03-21;20 - 29;MA;62
2022-03-21;30 - 39;FE;99
2022-03-21;30 - 39;MA;97
2022-03-21;40 - 49;FE;87
2022-03-21;40 - 49;MA;52
2022-03-21;50 - 59;FE;72
2022-03-21;50 - 59;MA;60
2022-03-21;60 - 69;FE;47
2022-03-21;60 - 69;MA;32
2022-03-21;70 - 79;FE;25
2022-03-21;70 - 79;MA;22
2022-03-21;80 - 89;FE;23
2022-03-21;80 - 89;MA;13
2022-03-22;> 89;FE;15
2022-03-22;> 89;MA;5
2022-03-22;00 - 09;FE;36
2022-03-22;00 - 09;MA;33
2022-03-22;10 - 19;FE;48
2022-03-22;10 - 19;MA;42
2022-03-22;20 - 29;FE;53
2022-03-22;20 - 29;MA;38
2022-03-22;30 - 39;FE;86
2022-03-22;30 - 39;MA;82
2022-03-22;40 - 49;FE;65
2022-03-22;40 - 49;MA;51
2022-03-22;50 - 59;FE;60
2022-03-22;50 - 59;MA;50
2022-03-22;60 - 69;FE;42
2022-03-22;60 - 69;MA;24
2022-03-22;70 - 79;FE;24
2022-03-22;70 - 79;MA;9
2022-03-22;80 - 89;FE;25
2022-03-22;80 - 89;MA;15
2022-03-23;> 89;FE;6
2022-03-23;> 89;MA;4
2022-03-23;00 - 09;FE;40
2022-03-23;00 - 09;MA;38
2022-03-23;10 - 19;FE;45
2022-03-23;10 - 19;MA;58
2022-03-23;20 - 29;FE;55
2022-03-23;20 - 29;MA;40
2022-03-23;30 - 39;FE;88
2022-03-23;30 - 39;MA;63
2022-03-23;40 - 49;FE;75
2022-03-23;40 - 49;MA;51
2022-03-23;50 - 59;FE;79
2022-03-23;50 - 59;MA;50
2022-03-23;60 - 69;FE;35
2022-03-23;60 - 69;MA;34
2022-03-23;70 - 79;FE;18
2022-03-23;70 - 79;MA;5
2022-03-23;80 - 89;FE;20
2022-03-23;80 - 89;MA;13
2022-03-24;> 89;FE;4
2022-03-24;> 89;MA;2
2022-03-24;00 - 09;FE;26
2022-03-24;00 - 09;MA;29
2022-03-24;10 - 19;FE;38
2022-03-24;10 - 19;MA;36
2022-03-24;20 - 29;FE;45
2022-03-24;20 - 29;MA;36
2022-03-24;30 - 39;;1
2022-03-24;30 - 39;FE;58
2022-03-24;30 - 39;MA;54
2022-03-24;40 - 49;FE;64
2022-03-24;40 - 49;MA;44
2022-03-24;50 - 59;FE;52
2022-03-24;50 - 59;MA;32
2022-03-24;60 - 69;FE;30
2022-03-24;60 - 69;MA;33
2022-03-24;70 - 79;FE;15
2022-03-24;70 - 79;MA;8
2022-03-24;80 - 89;FE;14
2022-03-24;80 - 89;MA;3
2022-03-25;> 89;FE;3
2022-03-25;> 89;MA;3
2022-03-25;00 - 09;FE;16
2022-03-25;00 - 09;MA;24
2022-03-25;10 - 19;FE;37
2022-03-25;10 - 19;MA;30
2022-03-25;20 - 29;FE;36
2022-03-25;20 - 29;MA;26
2022-03-25;30 - 39;FE;48
2022-03-25;30 - 39;MA;42
2022-03-25;40 - 49;FE;69
2022-03-25;40 - 49;MA;47
2022-03-25;50 - 59;FE;33
2022-03-25;50 - 59;MA;48
2022-03-25;60 - 69;FE;31
2022-03-25;60 - 69;MA;27
2022-03-25;70 - 79;FE;14
2022-03-25;70 - 79;MA;13
2022-03-25;80 - 89;FE;16
2022-03-25;80 - 89;MA;6
2022-03-26;> 89;FE;11
2022-03-26;> 89;MA;1
2022-03-26;00 - 09;FE;24
2022-03-26;00 - 09;MA;26
2022-03-26;10 - 19;FE;24
2022-03-26;10 - 19;MA;23
2022-03-26;20 - 29;FE;24
2022-03-26;20 - 29;MA;17
2022-03-26;30 - 39;FE;51
2022-03-26;30 - 39;MA;28
2022-03-26;40 - 49;;1
2022-03-26;40 - 49;FE;47
2022-03-26;40 - 49;MA;28
2022-03-26;50 - 59;FE;21
2022-03-26;50 - 59;MA;32
2022-03-26;60 - 69;FE;19
2022-03-26;60 - 69;MA;19
2022-03-26;70 - 79;FE;11
2022-03-26;70 - 79;MA;7
2022-03-26;80 - 89;FE;12
2022-03-26;80 - 89;MA;4
2022-03-27;> 89;FE;1
2022-03-27;> 89;MA;2
2022-03-27;00 - 09;FE;10
2022-03-27;00 - 09;MA;14
2022-03-27;10 - 19;FE;19
2022-03-27;10 - 19;MA;19
2022-03-27;20 - 29;FE;25
2022-03-27;20 - 29;MA;19
2022-03-27;30 - 39;FE;36
2022-03-27;30 - 39;MA;35
2022-03-27;40 - 49;FE;24
2022-03-27;40 - 49;MA;27
2022-03-27;50 - 59;FE;22
2022-03-27;50 - 59;MA;13
2022-03-27;60 - 69;FE;5
2022-03-27;60 - 69;MA;7
2022-03-27;70 - 79;MA;3
2022-03-27;80 - 89;FE;4
2022-03-27;80 - 89;MA;6
2022-03-28;> 89;FE;4
2022-03-28;> 89;MA;1
2022-03-28;00 - 09;FE;25
2022-03-28;00 - 09;MA;24
2022-03-28;10 - 19;FE;40
2022-03-28;10 - 19;MA;54
2022-03-28;20 - 29;FE;39
2022-03-28;20 - 29;MA;42
2022-03-28;30 - 39;FE;70
2022-03-28;30 - 39;MA;65
2022-03-28;40 - 49;FE;63
2022-03-28;40 - 49;MA;52
2022-03-28;50 - 59;FE;52
2022-03-28;50 - 59;MA;46
2022-03-28;60 - 69;FE;29
2022-03-28;60 - 69;MA;23
2022-03-28;70 - 79;FE;17
2022-03-28;70 - 79;MA;13
2022-03-28;80 - 89;FE;20
2022-03-28;80 - 89;MA;8
2022-03-29;> 89;FE;8
2022-03-29;> 89;MA;3
2022-03-29;00 - 09;FE;30
2022-03-29;00 - 09;MA;20
2022-03-29;10 - 19;FE;35
2022-03-29;10 - 19;MA;38
2022-03-29;20 - 29;FE;34
2022-03-29;20 - 29;MA;22
2022-03-29;30 - 39;FE;58
2022-03-29;30 - 39;MA;45
2022-03-29;40 - 49;FE;47
2022-03-29;40 - 49;MA;37
2022-03-29;50 - 59;FE;40
2022-03-29;50 - 59;MA;30
2022-03-29;60 - 69;FE;25
2022-03-29;60 - 69;MA;16
2022-03-29;70 - 79;FE;18
2022-03-29;70 - 79;MA;13
2022-03-29;80 - 89;FE;22
2022-03-29;80 - 89;MA;5
2022-03-30;> 89;;1
2022-03-30;> 89;FE;7
2022-03-30;> 89;MA;3
2022-03-30;00 - 09;FE;17
2022-03-30;00 - 09;MA;18
2022-03-30;10 - 19;FE;34
2022-03-30;10 - 19;MA;20
2022-03-30;20 - 29;FE;28
2022-03-30;20 - 29;MA;25
2022-03-30;30 - 39;FE;49
2022-03-30;30 - 39;MA;49
2022-03-30;40 - 49;FE;45
2022-03-30;40 - 49;MA;35
2022-03-30;50 - 59;FE;33
2022-03-30;50 - 59;MA;28
2022-03-30;60 - 69;FE;25
2022-03-30;60 - 69;MA;10
2022-03-30;70 - 79;FE;16
2022-03-30;70 - 79;MA;15
2022-03-30;80 - 89;FE;9
2022-03-30;80 - 89;MA;5
2022-03-31;> 89;FE;3
2022-03-31;> 89;MA;3
2022-03-31;00 - 09;FE;11
2022-03-31;00 - 09;MA;17
2022-03-31;10 - 19;;1
2022-03-31;10 - 19;FE;15
2022-03-31;10 - 19;MA;14
2022-03-31;20 - 29;FE;29
2022-03-31;20 - 29;MA;20
2022-03-31;30 - 39;FE;34
2022-03-31;30 - 39;MA;34
2022-03-31;40 - 49;FE;38
2022-03-31;40 - 49;MA;31
2022-03-31;50 - 59;FE;26
2022-03-31;50 - 59;MA;22
2022-03-31;60 - 69;FE;20
2022-03-31;60 - 69;MA;8
2022-03-31;70 - 79;FE;6
2022-03-31;70 - 79;MA;9
2022-03-31;80 - 89;FE;12
2022-03-31;80 - 89;MA;4
2022-04-01;> 89;FE;4
2022-04-01;> 89;MA;3
2022-04-01;00 - 09;FE;6
2022-04-01;00 - 09;MA;6
2022-04-01;10 - 19;FE;15
2022-04-01;10 - 19;MA;15
2022-04-01;20 - 29;FE;13
2022-04-01;20 - 29;MA;6
2022-04-01;30 - 39;FE;26
2022-04-01;30 - 39;MA;17
2022-04-01;40 - 49;FE;30
2022-04-01;40 - 49;MA;26
2022-04-01;50 - 59;FE;20
2022-04-01;50 - 59;MA;13
2022-04-01;60 - 69;FE;16
2022-04-01;60 - 69;MA;13
2022-04-01;70 - 79;FE;10
2022-04-01;70 - 79;MA;9
2022-04-01;80 - 89;;1
2022-04-01;80 - 89;FE;6
2022-04-01;80 - 89;MA;8
2022-04-02;> 89;FE;3
2022-04-02;> 89;MA;1
2022-04-02;00 - 09;FE;5
2022-04-02;00 - 09;MA;8
2022-04-02;10 - 19;FE;6
2022-04-02;10 - 19;MA;7
2022-04-02;20 - 29;FE;13
2022-04-02;20 - 29;MA;6
2022-04-02;30 - 39;FE;20
2022-04-02;30 - 39;MA;10
2022-04-02;40 - 49;FE;17
2022-04-02;40 - 49;MA;23
2022-04-02;50 - 59;FE;18
2022-04-02;50 - 59;MA;7
2022-04-02;60 - 69;FE;9
2022-04-02;60 - 69;MA;6
2022-04-02;70 - 79;FE;3
2022-04-02;70 - 79;MA;6
2022-04-02;80 - 89;FE;6
2022-04-02;80 - 89;MA;4
2022-04-03;> 89;MA;1
2022-04-03;00 - 09;FE;2
2022-04-03;00 - 09;MA;6
2022-04-03;10 - 19;FE;5
2022-04-03;10 - 19;MA;3
2022-04-03;20 - 29;FE;7
2022-04-03;20 - 29;MA;2
2022-04-03;30 - 39;FE;16
2022-04-03;30 - 39;MA;8
2022-04-03;40 - 49;FE;10
2022-04-03;40 - 49;MA;7
2022-04-03;50 - 59;FE;9
2022-04-03;50 - 59;MA;6
2022-04-03;60 - 69;FE;5
2022-04-03;60 - 69;MA;3
2022-04-03;70 - 79;FE;4
2022-04-03;70 - 79;MA;1
2022-04-03;80 - 89;FE;1
2022-04-03;80 - 89;MA;1
2022-04-04;> 89;FE;4
2022-04-04;> 89;MA;1
2022-04-04;00 - 09;FE;6
2022-04-04;00 - 09;MA;11
2022-04-04;10 - 19;FE;9
2022-04-04;10 - 19;MA;10
2022-04-04;20 - 29;FE;15
2022-04-04;20 - 29;MA;15
2022-04-04;30 - 39;FE;31
2022-04-04;30 - 39;MA;26
2022-04-04;40 - 49;FE;30
2022-04-04;40 - 49;MA;18
2022-04-04;50 - 59;FE;28
2022-04-04;50 - 59;MA;16
2022-04-04;60 - 69;FE;20
2022-04-04;60 - 69;MA;13
2022-04-04;70 - 79;FE;10
2022-04-04;70 - 79;MA;9
2022-04-04;80 - 89;FE;13
2022-04-04;80 - 89;MA;4
2022-04-05;> 89;FE;4
2022-04-05;> 89;MA;4
2022-04-05;00 - 09;FE;1
2022-04-05;00 - 09;MA;2
2022-04-05;10 - 19;FE;7
2022-04-05;10 - 19;MA;5
2022-04-05;20 - 29;FE;17
2022-04-05;20 - 29;MA;14
2022-04-05;30 - 39;FE;29
2022-04-05;30 - 39;MA;14
2022-04-05;40 - 49;FE;23
2022-04-05;40 - 49;MA;17
2022-04-05;50 - 59;FE;18
2022-04-05;50 - 59;MA;12
2022-04-05;60 - 69;FE;23
2022-04-05;60 - 69;MA;10
2022-04-05;70 - 79;FE;7
2022-04-05;70 - 79;MA;3
2022-04-05;80 - 89;FE;3
2022-04-05;80 - 89;MA;4
2022-04-06;> 89;FE;2
2022-04-06;> 89;MA;1
2022-04-06;00 - 09;FE;6
2022-04-06;00 - 09;MA;10
2022-04-06;10 - 19;FE;10
2022-04-06;10 - 19;MA;10
2022-04-06;20 - 29;FE;22
2022-04-06;20 - 29;MA;16
2022-04-06;30 - 39;FE;37
2022-04-06;30 - 39;MA;20
2022-04-06;40 - 49;FE;18
2022-04-06;40 - 49;MA;13
2022-04-06;50 - 59;FE;22
2022-04-06;50 - 59;MA;14
2022-04-06;60 - 69;FE;15
2022-04-06;60 - 69;MA;13
2022-04-06;70 - 79;FE;8
2022-04-06;70 - 79;MA;6
2022-04-06;80 - 89;FE;6
2022-04-06;80 - 89;MA;3
2022-04-07;> 89;FE;5
2022-04-07;00 - 09;FE;5
2022-04-07;00 - 09;MA;11
2022-04-07;10 - 19;FE;7
2022-04-07;10 - 19;MA;10
2022-04-07;20 - 29;FE;13
2022-04-07;20 - 29;MA;17
2022-04-07;30 - 39;FE;22
2022-04-07;30 - 39;MA;19
2022-04-07;40 - 49;FE;18
2022-04-07;40 - 49;MA;14
2022-04-07;50 - 59;FE;19
2022-04-07;50 - 59;MA;14
2022-04-07;60 - 69;FE;7
2022-04-07;60 - 69;MA;11
2022-04-07;70 - 79;FE;6
2022-04-07;70 - 79;MA;6
2022-04-07;80 - 89;FE;2
2022-04-07;80 - 89;MA;6
2022-04-08;> 89;FE;6
2022-04-08;> 89;MA;2
2022-04-08;00 - 09;FE;4
2022-04-08;00 - 09;MA;5
2022-04-08;10 - 19;FE;13
2022-04-08;10 - 19;MA;11
2022-04-08;20 - 29;FE;16
2022-04-08;20 - 29;MA;10
2022-04-08;30 - 39;FE;32
2022-04-08;30 - 39;MA;15
2022-04-08;40 - 49;FE;16
2022-04-08;40 - 49;MA;14
2022-04-08;50 - 59;FE;23
2022-04-08;50 - 59;MA;13
2022-04-08;60 - 69;FE;12
2022-04-08;60 - 69;MA;8
2022-04-08;70 - 79;FE;10
2022-04-08;70 - 79;MA;4
2022-04-08;80 - 89;FE;11
2022-04-08;80 - 89;MA;6
2022-04-09;> 89;FE;2
2022-04-09;> 89;MA;2
2022-04-09;00 - 09;FE;6
2022-04-09;00 - 09;MA;4
2022-04-09;10 - 19;FE;5
2022-04-09;10 - 19;MA;5
2022-04-09;20 - 29;FE;14
2022-04-09;20 - 29;MA;7
2022-04-09;30 - 39;FE;9
2022-04-09;30 - 39;MA;10
2022-04-09;40 - 49;FE;12
2022-04-09;40 - 49;MA;10
2022-04-09;50 - 59;FE;12
2022-04-09;50 - 59;MA;9
2022-04-09;60 - 69;FE;3
2022-04-09;60 - 69;MA;6
2022-04-09;70 - 79;FE;5
2022-04-09;70 - 79;MA;1
2022-04-09;80 - 89;FE;3
2022-04-09;80 - 89;MA;6
2022-04-10;> 89;FE;1
2022-04-10;> 89;MA;1
2022-04-10;00 - 09;FE;3
2022-04-10;00 - 09;MA;1
2022-04-10;10 - 19;FE;2
2022-04-10;10 - 19;MA;2
2022-04-10;20 - 29;FE;5
2022-04-10;20 - 29;MA;2
2022-04-10;30 - 39;FE;8
2022-04-10;30 - 39;MA;8
2022-04-10;40 - 49;FE;6
2022-04-10;40 - 49;MA;5
2022-04-10;50 - 59;FE;3
2022-04-10;50 - 59;MA;5
2022-04-10;60 - 69;FE;3
2022-04-10;60 - 69;MA;4
2022-04-10;70 - 79;FE;3
2022-04-10;70 - 79;MA;3
2022-04-10;80 - 89;FE;2
2022-04-10;80 - 89;MA;3
2022-04-11;> 89;FE;4
2022-04-11;> 89;MA;4
2022-04-11;00 - 09;FE;6
2022-04-11;00 - 09;MA;1
2022-04-11;10 - 19;FE;4
2022-04-11;10 - 19;MA;3
2022-04-11;20 - 29;FE;12
2022-04-11;20 - 29;MA;2
2022-04-11;30 - 39;FE;23
2022-04-11;30 - 39;MA;19
2022-04-11;40 - 49;FE;16
2022-04-11;40 - 49;MA;30
2022-04-11;50 - 59;FE;19
2022-04-11;50 - 59;MA;19
2022-04-11;60 - 69;FE;20
2022-04-11;60 - 69;MA;4
2022-04-11;70 - 79;FE;13
2022-04-11;70 - 79;MA;11
2022-04-11;80 - 89;FE;10
2022-04-11;80 - 89;MA;2
2022-04-12;> 89;MA;2
2022-04-12;00 - 09;;1
2022-04-12;00 - 09;MA;2
2022-04-12;10 - 19;FE;2
2022-04-12;10 - 19;MA;4
2022-04-12;20 - 29;FE;13
2022-04-12;20 - 29;MA;10
2022-04-12;30 - 39;FE;20
2022-04-12;30 - 39;MA;13
2022-04-12;40 - 49;FE;18
2022-04-12;40 - 49;MA;12
2022-04-12;50 - 59;FE;15
2022-04-12;50 - 59;MA;9
2022-04-12;60 - 69;FE;9
2022-04-12;60 - 69;MA;8
2022-04-12;70 - 79;FE;5
2022-04-12;70 - 79;MA;3
2022-04-12;80 - 89;FE;6
2022-04-12;80 - 89;MA;2
2022-04-13;> 89;FE;3
2022-04-13;> 89;MA;3
2022-04-13;00 - 09;FE;3
2022-04-13;10 - 19;FE;4
2022-04-13;10 - 19;MA;5
2022-04-13;20 - 29;FE;16
2022-04-13;20 - 29;MA;11
2022-04-13;30 - 39;FE;19
2022-04-13;30 - 39;MA;12
2022-04-13;40 - 49;FE;22
2022-04-13;40 - 49;MA;9
2022-04-13;50 - 59;;1
2022-04-13;50 - 59;FE;12
2022-04-13;50 - 59;MA;20
2022-04-13;60 - 69;FE;12
2022-04-13;60 - 69;MA;10
2022-04-13;70 - 79;FE;10
2022-04-13;70 - 79;MA;4
2022-04-13;80 - 89;FE;4
2022-04-13;80 - 89;MA;7
2022-04-14;> 89;FE;3
2022-04-14;> 89;MA;1
2022-04-14;00 - 09;MA;3
2022-04-14;10 - 19;FE;5
2022-04-14;10 - 19;MA;5
2022-04-14;20 - 29;FE;12
2022-04-14;20 - 29;MA;5
2022-04-14;30 - 39;FE;20
2022-04-14;30 - 39;MA;13
2022-04-14;40 - 49;FE;14
2022-04-14;40 - 49;MA;4
2022-04-14;50 - 59;FE;13
2022-04-14;50 - 59;MA;7
2022-04-14;60 - 69;FE;7
2022-04-14;60 - 69;MA;8
2022-04-14;70 - 79;FE;7
2022-04-14;70 - 79;MA;2
2022-04-14;80 - 89;FE;3
2022-04-14;80 - 89;MA;3
2022-04-15;> 89;FE;2
2022-04-15;> 89;MA;1
2022-04-15;10 - 19;FE;2
2022-04-15;10 - 19;MA;4
2022-04-15;20 - 29;FE;6
2022-04-15;20 - 29;MA;1
2022-04-15;30 - 39;FE;10
2022-04-15;30 - 39;MA;4
2022-04-15;40 - 49;FE;12
2022-04-15;40 - 49;MA;5
2022-04-15;50 - 59;FE;14
2022-04-15;50 - 59;MA;6
2022-04-15;60 - 69;FE;3
2022-04-15;60 - 69;MA;4
2022-04-15;70 - 79;FE;6
2022-04-15;70 - 79;MA;2
2022-04-15;80 - 89;FE;3
2022-04-16;> 89;FE;2
2022-04-16;00 - 09;FE;2
2022-04-16;00 - 09;MA;3
2022-04-16;10 - 19;MA;1
2022-04-16;20 - 29;FE;6
2022-04-16;20 - 29;MA;1
2022-04-16;30 - 39;FE;8
2022-04-16;30 - 39;MA;8
2022-04-16;40 - 49;FE;11
2022-04-16;40 - 49;MA;4
2022-04-16;50 - 59;FE;13
2022-04-16;50 - 59;MA;7
2022-04-16;60 - 69;FE;3
2022-04-16;60 - 69;MA;5
2022-04-16;70 - 79;FE;4
2022-04-16;70 - 79;MA;4
2022-04-16;80 - 89;FE;2
2022-04-17;> 89;MA;2
2022-04-17;20 - 29;FE;8
2022-04-17;20 - 29;MA;2
2022-04-17;30 - 39;FE;7
2022-04-17;30 - 39;MA;8
2022-04-17;40 - 49;FE;4
2022-04-17;40 - 49;MA;2
2022-04-17;50 - 59;FE;7
2022-04-17;50 - 59;MA;4
2022-04-17;60 - 69;FE;2
2022-04-17;60 - 69;MA;3
2022-04-17;70 - 79;FE;1
2022-04-17;70 - 79;MA;1
2022-04-17;80 - 89;FE;4
2022-04-17;80 - 89;MA;1
2022-04-18;> 89;FE;1
2022-04-18;00 - 09;FE;3
2022-04-18;00 - 09;MA;1
2022-04-18;20 - 29;FE;6
2022-04-18;20 - 29;MA;2
2022-04-18;30 - 39;FE;7
2022-04-18;30 - 39;MA;5
2022-04-18;40 - 49;FE;6
2022-04-18;40 - 49;MA;9
2022-04-18;50 - 59;FE;6
2022-04-18;50 - 59;MA;4
2022-04-18;60 - 69;FE;4
2022-04-18;60 - 69;MA;1
2022-04-18;70 - 79;MA;2
2022-04-18;80 - 89;MA;3
2022-04-19;00 - 09;FE;6
2022-04-19;00 - 09;MA;2
2022-04-19;10 - 19;FE;3
2022-04-19;20 - 29;FE;8
2022-04-19;20 - 29;MA;14
2022-04-19;30 - 39;FE;18
2022-04-19;30 - 39;MA;19
2022-04-19;40 - 49;FE;15
2022-04-19;40 - 49;MA;12
2022-04-19;50 - 59;FE;15
2022-04-19;50 - 59;MA;16
2022-04-19;60 - 69;FE;10
2022-04-19;60 - 69;MA;5
2022-04-19;70 - 79;FE;4
2022-04-19;70 - 79;MA;4
2022-04-19;80 - 89;FE;2
2022-04-19;80 - 89;MA;2
2022-04-20;> 89;FE;1
2022-04-20;> 89;MA;1
2022-04-20;00 - 09;MA;2
2022-04-20;10 - 19;FE;2
2022-04-20;10 - 19;MA;1
2022-04-20;20 - 29;FE;9
2022-04-20;20 - 29;MA;9
2022-04-20;30 - 39;FE;22
2022-04-20;30 - 39;MA;13
2022-04-20;40 - 49;FE;19
2022-04-20;40 - 49;MA;14
2022-04-20;50 - 59;;1
2022-04-20;50 - 59;FE;15
2022-04-20;50 - 59;MA;7
2022-04-20;60 - 69;FE;8
2022-04-20;60 - 69;MA;1
2022-04-20;70 - 79;FE;10
2022-04-20;70 - 79;MA;2
2022-04-20;80 - 89;FE;3
2022-04-20;80 - 89;MA;3
2022-04-21;> 89;FE;10
2022-04-21;> 89;MA;3
2022-04-21;00 - 09;MA;2
2022-04-21;10 - 19;MA;3
2022-04-21;20 - 29;FE;19
2022-04-21;20 - 29;MA;3
2022-04-21;30 - 39;FE;10
2022-04-21;30 - 39;MA;7
2022-04-21;40 - 49;FE;11
2022-04-21;40 - 49;MA;11
2022-04-21;50 - 59;FE;14
2022-04-21;50 - 59;MA;4
2022-04-21;60 - 69;FE;9
2022-04-21;60 - 69;MA;4
2022-04-21;70 - 79;FE;6
2022-04-21;70 - 79;MA;8
2022-04-21;80 - 89;FE;10
2022-04-21;80 - 89;MA;5
2022-04-22;> 89;FE;2
2022-04-22;> 89;MA;1
2022-04-22;00 - 09;MA;1
2022-04-22;10 - 19;FE;2
2022-04-22;10 - 19;MA;3
2022-04-22;20 - 29;FE;4
2022-04-22;20 - 29;MA;4
2022-04-22;30 - 39;FE;12
2022-04-22;30 - 39;MA;6
2022-04-22;40 - 49;FE;12
2022-04-22;40 - 49;MA;5
2022-04-22;50 - 59;FE;11
2022-04-22;50 - 59;MA;11
2022-04-22;60 - 69;FE;7
2022-04-22;60 - 69;MA;6
2022-04-22;70 - 79;FE;5
2022-04-22;70 - 79;MA;4
2022-04-22;80 - 89;FE;4
2022-04-23;> 89;FE;1
2022-04-23;00 - 09;FE;2
2022-04-23;00 - 09;MA;2
2022-04-23;10 - 19;FE;3
2022-04-23;10 - 19;MA;1
2022-04-23;20 - 29;FE;3
2022-04-23;20 - 29;MA;6
2022-04-23;30 - 39;FE;7
2022-04-23;30 - 39;MA;4
2022-04-23;40 - 49;FE;4
2022-04-23;40 - 49;MA;4
2022-04-23;50 - 59;FE;5
2022-04-23;50 - 59;MA;5
2022-04-23;60 - 69;FE;4
2022-04-23;60 - 69;MA;7
2022-04-23;70 - 79;FE;4
2022-04-23;70 - 79;MA;3
2022-04-23;80 - 89;FE;3
2022-04-23;80 - 89;MA;2
2022-04-24;> 89;MA;2
2022-04-24;00 - 09;FE;1
2022-04-24;10 - 19;FE;1
2022-04-24;10 - 19;MA;1
2022-04-24;20 - 29;FE;6
2022-04-24;20 - 29;MA;2
2022-04-24;30 - 39;FE;1
2022-04-24;30 - 39;MA;8
2022-04-24;40 - 49;FE;7
2022-04-24;40 - 49;MA;4
2022-04-24;50 - 59;FE;4
2022-04-24;50 - 59;MA;3
2022-04-24;60 - 69;FE;1
2022-04-24;60 - 69;MA;6
2022-04-24;70 - 79;FE;2
2022-04-24;70 - 79;MA;2
2022-04-24;80 - 89;FE;3
2022-04-24;80 - 89;MA;1
2022-04-25;> 89;FE;2
2022-04-25;> 89;MA;1
2022-04-25;00 - 09;MA;2
2022-04-25;10 - 19;FE;4
2022-04-25;10 - 19;MA;1
2022-04-25;20 - 29;FE;10
2022-04-25;20 - 29;MA;6
2022-04-25;30 - 39;FE;6
2022-04-25;30 - 39;MA;10
2022-04-25;40 - 49;FE;6
2022-04-25;40 - 49;MA;5
2022-04-25;50 - 59;FE;12
